,names,ids,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
157,Shoot to Thrill,0C80GCp0mMuBzLf3EAXqxv,AC/DC,0.457,0.904,2,-5.303,1,0.0747,0.000239,0.0879,0.396,0.48,141.038,audio_features,0C80GCp0mMuBzLf3EAXqxv,spotify:track:0C80GCp0mMuBzLf3EAXqxv,https://api.spotify.com/v1/tracks/0C80GCp0mMuBzLf3EAXqxv,https://api.spotify.com/v1/audio-analysis/0C80GCp0mMuBzLf3EAXqxv,317427,4
158,Rock You Like A Hurricane,58XWGx7KNNkKneHdprcprX,Scorpions,0.482,0.617,4,-12.931,0,0.0458,0.00543,0.000146,0.284,0.718,125.697,audio_features,58XWGx7KNNkKneHdprcprX,spotify:track:58XWGx7KNNkKneHdprcprX,https://api.spotify.com/v1/tracks/58XWGx7KNNkKneHdprcprX,https://api.spotify.com/v1/audio-analysis/58XWGx7KNNkKneHdprcprX,252493,4
159,Dare to Be Stupid,2QuYig9VyECgbJIHHxYirK,"""Weird Al"" Yankovic",0.638,0.961,4,-6.64,0,0.0368,0.113,9.01e-06,0.352,0.775,89.742,audio_features,2QuYig9VyECgbJIHHxYirK,spotify:track:2QuYig9VyECgbJIHHxYirK,https://api.spotify.com/v1/tracks/2QuYig9VyECgbJIHHxYirK,https://api.spotify.com/v1/audio-analysis/2QuYig9VyECgbJIHHxYirK,205907,4
160,In The Air Tonight - 2015 Remastered,18AXbzPzBS8Y3AkgSxzJPb,Phil Collins,0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,audio_features,18AXbzPzBS8Y3AkgSxzJPb,spotify:track:18AXbzPzBS8Y3AkgSxzJPb,https://api.spotify.com/v1/tracks/18AXbzPzBS8Y3AkgSxzJPb,https://api.spotify.com/v1/audio-analysis/18AXbzPzBS8Y3AkgSxzJPb,336453,4
161,Have You Ever Seen The Rain,5DnT9a5IM3eMjKgXTWVJvi,Creedence Clearwater Revival,0.743,0.47,0,-13.154,1,0.029,0.0936,3.15e-05,0.186,0.89,116.122,audio_features,5DnT9a5IM3eMjKgXTWVJvi,spotify:track:5DnT9a5IM3eMjKgXTWVJvi,https://api.spotify.com/v1/tracks/5DnT9a5IM3eMjKgXTWVJvi,https://api.spotify.com/v1/audio-analysis/5DnT9a5IM3eMjKgXTWVJvi,160333,4
162,Uranium Fever,0riEqqgCIT9lyecfqyQ1pK,Elton Britt,0.79,0.504,3,-8.23,1,0.122,0.83,0.0,0.0563,0.924,118.962,audio_features,0riEqqgCIT9lyecfqyQ1pK,spotify:track:0riEqqgCIT9lyecfqyQ1pK,https://api.spotify.com/v1/tracks/0riEqqgCIT9lyecfqyQ1pK,https://api.spotify.com/v1/audio-analysis/0riEqqgCIT9lyecfqyQ1pK,139154,4
163,Welcome To The Jungle,0G21yYKMZoHa30cYVi1iA8,Guns N' Roses,0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,audio_features,0G21yYKMZoHa30cYVi1iA8,spotify:track:0G21yYKMZoHa30cYVi1iA8,https://api.spotify.com/v1/tracks/0G21yYKMZoHa30cYVi1iA8,https://api.spotify.com/v1/audio-analysis/0G21yYKMZoHa30cYVi1iA8,273480,4
164,Any Way You Want It,71SvEDmsOwIWw1IozsZoMA,Journey,0.529,0.932,7,-7.501,1,0.0488,0.00251,0.00109,0.136,0.571,138.158,audio_features,71SvEDmsOwIWw1IozsZoMA,spotify:track:71SvEDmsOwIWw1IozsZoMA,https://api.spotify.com/v1/tracks/71SvEDmsOwIWw1IozsZoMA,https://api.spotify.com/v1/audio-analysis/71SvEDmsOwIWw1IozsZoMA,201693,4
165,Eye of the Tiger,2HHtWyy5CgaQbC7XSoOb0e,Survivor,0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,audio_features,2HHtWyy5CgaQbC7XSoOb0e,spotify:track:2HHtWyy5CgaQbC7XSoOb0e,https://api.spotify.com/v1/tracks/2HHtWyy5CgaQbC7XSoOb0e,https://api.spotify.com/v1/audio-analysis/2HHtWyy5CgaQbC7XSoOb0e,243773,4
166,It's Still Rock and Roll to Me,64UioB4Nmwgn2f4cbIpAkl,Billy Joel,0.752,0.684,0,-7.599,1,0.15,0.0994,0.0,0.0897,0.539,141.075,audio_features,64UioB4Nmwgn2f4cbIpAkl,spotify:track:64UioB4Nmwgn2f4cbIpAkl,https://api.spotify.com/v1/tracks/64UioB4Nmwgn2f4cbIpAkl,https://api.spotify.com/v1/audio-analysis/64UioB4Nmwgn2f4cbIpAkl,176440,4
